DB00640,Q9BTU6
DB00640,Q8TCG2
DB00640,P04406
DB00640,Q8TEK3
DB00171,P51575
DB00640,P51575
DB00171,P51582
DB00640,P51582
DB00171,O60674
DB00640,O60674
DB00171,P47900
DB00640,P47900
DB00171,P41231
DB00640,P41231
DB00171,Q96G91
DB00640,Q96G91
DB00171,Q8TD43
DB00640,Q8TD43
DB00171,Q9BPV8
DB00640,Q9BPV8
DB00171,P49137
DB00640,P49137
DB00171,O43318
DB00171,Q99571
DB00640,Q99571
DB00171,Q13304
DB00640,Q13304
DB00171,P56373
DB00640,P56373
DB00171,Q12931
DB00640,Q12931
DB00171,P11142
DB00640,P11142
DB00171,P0DMV8
DB00640,P0DMV8
DB00131,P09467
DB00640,P09467
DB00131,P12931
DB00640,P12931
DB00131,O94759
DB00640,O94759
DB00131,Q8TD43
DB00131,P00338
DB00640,P00338
DB00131,O43598
DB00640,O43598
DB00546,P30536
DB00546,O14764
DB00546,P14867
DB00546,P18505
DB00546,P18507
DB00546,P28472
DB00546,P31644
DB00546,P34903
DB00546,P47869
DB00546,P47870
DB00546,P48169
DB00546,Q16445
DB00546,Q8N1C3
DB00546,Q99928
DB06594,P28223
DB06594,P41595
DB06594,P48039
DB06594,P49286
DB06594,P28335
DB01426,Q14524
DB01426,P10635
DB01426,Q9UK17
DB01426,P22460
DB01197,P12821
DB01001,P08588
DB01001,P07550
DB13167,P35354
DB13167,P23219
DB13648,P11229
DB13648,P08172
DB13648,P20309
DB13648,P08173
DB13648,Q15822
DB13648,P36544
DB13648,P02708
DB13648,P11230
DB13648,Q07001
DB13648,P30926
DB13648,P43681
DB04630,P08235
DB04630,P08185
DB04630,P04278
DB00630,P14324
DB00630,P49356
DB00802,P35372
DB00802,P08183
DB00346,P35348
DB00346,P25100
DB00346,P35368
DB00346,P22303
DB00346,O15245
DB09026,P08684
DB09026,P08183
DB09026,P00797
DB01425,P14416
DB01425,P18825
DB00437,P29274
DB00437,P47989
DB00437,P00492
DB00918,P28222
DB00918,P28221
DB00918,P30939
DB00969,Q12809
DB00969,P41595
DB00969,P46098
DB00969,P05177
DB01436,P23975
DB01436,P11473
DB11371,P30531
DB11371,P14867
DB11371,P18507
DB11371,P47870
DB11371,P47869
DB00404,O60885
DB00404,P14867
DB00404,P18507
DB00404,P47870
DB00404,P28472
DB00404,P47869
DB00404,P34903
DB00404,P31644
DB00866,P08908
DB00866,P28223
DB00866,P13945
DB00866,P08588
DB00866,P07550
DB00770,P34995
DB00770,P43115
DB00770,P43119
DB00770,P43116
DB00770,P35408
DB00770,Q13258
DB00770,Q8NEC5
DB00770,Q96P56
DB00770,Q86XQ3
DB00770,Q7RTX7
DB00770,P43354
DB00488,P05177
DB06274,P35372
DB06274,P41145
DB06274,P41143
DB00915,Q99720
DB00915,Q96FL8
DB00915,O15399
DB00915,O60391
DB00915,Q05586
DB00915,Q12879
DB00915,Q13224
DB00915,Q14957
DB00915,Q8TCU5
DB01122,P22303
DB06742,P31645
DB06742,P10635
DB06742,Q9Y5Y9
DB06742,P04062
DB00288,P04150
DB01143,P35462
DB01143,P05186
DB00594,P37088
DB00594,P00749
DB00594,P29274
DB00594,P21397
DB00594,P19634
DB00594,O15245
DB00594,Q16515
DB00594,P78348
DB00594,Q9UHC3
DB00594,P51168
DB00594,P51170
