P46952,Q99259
O95751,Q6ZN18
Q93062,Q9BQY4
O75604,Q96ED9
P21964,Q15645
O43298,P49407
Q06455,Q9P2A4
Q9BQY4,Q9H0E2
Q96QU6,Q96QU6
P98170,Q96HA8
O95671,P48775
O75525,Q8TBE0
P51668,Q9HCM9
O43617,O75865
Q16630,Q9H0M0
Q14061,Q9BW62
P13798,P13798
Q8NFF5,Q9NRG1
Q15475,Q99750
P23297,P25815
P67775,Q15645
P28749,Q9BUH8
O95376,Q16851
Q13049,Q9UMX0
O75886,Q15038
P36406,Q0VDD7
P08727,Q9NYB9
Q15654,Q96HA1
Q13526,Q7Z5J4
P04155,Q9UMX0
Q9BQD3,Q9UPT5
Q9HCM9,Q9Y577
Q96IT1,Q9NWS9
Q05516,Q12933
O00308,Q01844
Q6P1W5,Q8NDC0
Q969F0,Q96D59
O95544,Q8TBB1
Q99750,Q99750
Q15645,Q96LM6
P43686,P62195
O94818,P43364
Q01105,Q9BT49
Q13191,Q9H8Y8
O76071,Q9Y3D0
Q5T681,Q99750
P61978,P61978
P43364,Q96AJ1
O95967,Q96EQ0
P36406,P55040
O76064,Q9C0F1
P51116,P61457
Q92624,Q969V5
O94972,O95990
Q12933,Q8N8B7
P19012,Q9BT92
Q15645,Q8WXK3
P43364,Q16206
Q15645,Q15645
Q8IY31,Q9UPT5
P14373,Q8TES7
P40692,P63010
Q8IYF3,Q96IQ9
Q15013,Q15645
P98170,Q96FJ2
O75525,P38159
P10644,Q9BSF0
Q8IYX3,Q99750
P25786,Q13137
P15622,Q08379
P54652,Q9NZL4
O14764,Q9UMX0
P84243,Q96KQ7
P14136,Q6ZU52
P19012,Q96ES7
P14373,Q05516
Q9UNF0,Q9UNF0
P19012,Q53FD0
Q8TBB1,Q8TC92
Q96GA7,Q96GA7
P23528,P63261
Q8NEA6,Q9UMX1
O43167,Q99750
O14964,Q8N6Y0
Q7Z6G3,Q9BU64
P38159,Q8TBB1
P04259,P08727
Q12933,Q9H0I2
Q12933,Q9NZD8
P09012,P26599
P61289,Q64LD2
P40692,Q14134
Q96QG7,Q9Y6C2
O75177,Q15427
P63261,P63261
Q12933,Q8N9N5
P61289,Q8TBK6
Q86U70,Q9BWG4
Q6UWE0,Q99816
Q7Z6G3,Q96HA8
Q96EZ8,Q9C0F1
Q15645,Q6BCY4
O75344,Q9Y5B8
O43734,Q12933
Q86UW9,Q9UM19
O14641,Q96CW1
P49247,Q8TBB1
Q13137,Q9UBL6
O00746,P15531
P09012,Q9BQ61
O95379,Q9NPJ6
Q5JSZ5,Q96KQ7
Q53G59,Q7Z614
Q14919,Q9NRF9
O43765,P10124
P63010,Q16626
P37198,Q96QU8
Q9UBQ5,Q9Y262
O75379,Q12846
Q96CG3,Q9H190
O95751,P18848
Q9C005,Q9UBL3
Q96HB5,Q99418
P38936,Q8IYF3
Q9NZQ3,Q9UQB8
O14879,P09914
P21673,Q9BQ70
P60709,P60981
Q15645,Q9BSH5
P29972,Q99750
Q07352,Q16539
Q15834,Q9NX63
Q13155,Q15046
Q13247,Q15287
P45984,Q9C0F1
Q12933,Q8TBB1
Q9NPC3,Q9NPC3
P63279,Q13422
P55055,Q99750
Q6P1W5,Q93062
P51116,Q5T681
Q13136,Q14738
Q12933,Q9UHB7
P0CG48,Q15038
Q8WYH8,Q9BQD3
O95751,Q7L190
Q9BRK4,Q9P0T4
O75791,Q93062
Q8NI60,Q9UI14
Q9NR22,Q9NR22
O43189,Q93062
Q93062,Q93062
Q8IYX0,Q99750
O95751,Q05516
P49761,Q9BUV0
P07910,Q96IZ5
P43364,Q7Z614
Q96DX5,Q9NWT6
P43243,P61978
Q6RW13,Q6RW13
P38159,Q5VWX1
P24278,Q99750
P13994,P49910
P19012,Q7Z3B3
Q9NWV8,Q9NXR7
Q13526,Q8NF64
Q96EN9,Q99750
Q13432,Q96GX8
Q99961,Q99961
P47804,Q96EK5
P17040,P57086
Q8NA54,Q99750
P11802,P55273
O95967,P46379
Q9NZD8,Q9UI14
Q9HAC8,Q9HCM9
P60953,Q00587
Q14141,Q8WYJ6
Q6ZU52,Q9P2A4
Q12933,Q5T124
Q15637,Q92841
O75864,Q8N7W2
Q8IYF3,Q9Y3Q8
Q7Z6G3,Q9BY27
O14832,P43364
O95990,Q8N6Y0
Q99750,Q9H0I2
Q8N5I3,Q8N5I3
Q8N6Y0,Q8TES7
O43251,Q9BQY4
P49321,P68431
